lon;lat;species;cells;BO_calcite;BO_salinity;BO_ph;BO_sstmean;BO_sstrange;BO2_chlomean_bdmax;sp
152.15;-32.716;Ophiothela mirabilis;3142466;0.001619;35.42200089;8.319000244;20.57799911;8.390000343;0.509449005;1
-87.90000153;13.13749981;Ophiothela mirabilis;1159586;0.004249;33.49000168;8.140000343;29.90200043;3.523999929;0.526949108;1
151.27499;-33.8;Ophiothela mirabilis;3189256;0.000241;35.51200104;8.312999725;20.22500038;5.874000072;0.42668274;1
147.7;-18.966;Ophiothela mirabilis;2548413;0.002255;35.07600021;8.458999634;26.22900009;5.830999851;0.229441404;1
116.7781;-20.3866;Ophiothela mirabilis;2609242;0.003401;35.5870018;8.274000168;27.1989994;7.616000175;0.167333707;1
-82.60266876;4.008999825;Ophiothela mirabilis;1552049;0.000166;32.28300095;8.024999619;27.22500038;1.547000051;0.004361333;1
132.175;-11.2433;Ophiothela mirabilis;2213427;0.015451;34.30099869;8.211000443;29.26099968;6.452000141;0.146796867;1
31.58300018;-29.35000038;Ophiothela mirabilis;2997019;0.001388;35.43999863;8.236000061;23.11300087;5.386000156;0.296965241;1
153.266;-30.25;Ophiothela mirabilis;3038080;0.000203;35.41600037;8.326999664;22.83200073;5.644999981;0.238161385;1
116.6133;-20.489;Ophiothela mirabilis;2612840;0.003041;35.57500076;8.274999619;26.98800087;7.81099987;0.141664118;1
65.86699677;-21.35000038;Ophiothela mirabilis;2651831;5.60E-05;35.06299973;8.234999657;25.04400063;4.943999767;0.004361368;1
151.333;-23.833;Ophiothela mirabilis;2757256;0.01284;35.07500076;8.414999962;24.83799934;9.715999603;0.23240234;1
-44.2943;-23.1149;Ophiothela mirabilis;2726109;0.000327;35.45500183;8.067000389;25.24600029;5.822000027;0.013283134;1
116.9175;-20.4008;Ophiothela mirabilis;2609244;0.001441;35.59799957;8.274000168;26.91200066;7.647999763;0.167511925;1
122.92624;-12.24517;Ophiothela mirabilis;2256516;0.016035;34.50299835;8.213000298;29.10300064;4.565000057;0.020939931;1
153.15;-30.316;Ophiothela mirabilis;3038078;0.000437;35.39500046;8.328000069;22.09600067;5.890999794;0.446595043;1
-52.43;6.438333333;Ophiothela mirabilis;1448011;0.000777;31.55699921;8.166999817;28.26000023;2.155999899;0.009966357;1
113.6453;-22.4802;Ophiothela mirabilis;2699204;0.00012;35.06399918;8.291000366;25.19000053;5.356999874;0.098583691;1
145.35;-14.783;Ophiothela mirabilis;2368385;0.015934;35.02099991;8.411999702;26.81500053;6.276000023;0.097226486;1
145.664;-14.6641;Ophiothela mirabilis;2361188;0.002968;35.02099991;8.413000107;26.95400047;4.791999817;0.004370615;1
120.97222;13.52417;Ophiothela mirabilis;1144092;0.000147;33.8030014;8.199000359;28.5720005;4.05700016;0.004665953;1
127.8516693;26.39999962;Ophiothela mirabilis;589775;0.000782;34.45899963;8.241000175;25.23699951;8.720000267;0.223914549;1
148.716;-20.1;Ophiothela mirabilis;2598825;0.004861;35.10699844;8.460000038;25.7670002;7.063000202;0.249118969;1
98.38280556;7.745333333;Ophiothela mirabilis;1395821;0.00041;32.13499832;8.190999985;29.99200058;2.694000006;0.267321944;1
153.44166;-29.54166;Ophiothela mirabilis;3005682;0.000583;35.29000092;8.329999924;22.73399925;5.632999897;0.370212078;1
92.91699982;19.83300018;Ophiothela mirabilis;873756;0.001489;31.61499977;8.237000465;28.55599976;4.748000145;0.24647525;1
153.633;-28.616;Ophiothela mirabilis;2966084;0.000561;35.26399994;8.335000038;23.07299995;5.882999897;0.401980549;1
153.266;-30.2;Ophiothela mirabilis;3034480;0.000241;35.40200043;8.328000069;22.67900085;5.515999794;0.243209258;1
114.908;-20.9896;Ophiothela mirabilis;2634419;0.000133;35.14799881;8.277000427;26.43799973;5.948999882;0.278546065;1
134.31;-9.41803;Ophiothela mirabilis;2137852;0.000181;33.92599869;8.199999809;28.5359993;4.847000122;0.220887467;1
153.116;-26.616;Ophiothela mirabilis;2879678;0.000983;35.20100021;8.359000206;23.68700027;6.945000172;0.322532177;1
78.63333333;8.866666667;Ophiothela mirabilis;1345184;0.000366;34.11700058;8.102000237;28.875;3.210999966;0.019755334;1
153.216;-30.166;Ophiothela mirabilis;3030879;0.000545;35.375;8.328000069;22.2670002;5.486000061;0.446727753;1
136.67;-12.22;Ophiothela mirabilis;2256681;0.007915;34.88299942;8.206000328;28.8939991;6.573999882;0.177651271;1
152.5238333;-10.62783333;Ophiothela mirabilis;2188471;0.000118;34.79499817;8.340000153;28.73600006;3.244999886;0.004361332;1
153.183;-30.25;Ophiothela mirabilis;3038079;0.000551;35.40499878;8.328000069;22.33399963;5.497000217;0.360119462;1
119.2555;-17.2555;Ophiothela mirabilis;2476072;0.010275;34.875;8.248999596;28.51499939;5.157999992;0.006072984;1
116.843;-20.3523;Ophiothela mirabilis;2609243;0.001098;35.5929985;8.274000168;26.95000076;7.568999767;0.169756189;1
35.29999924;-24.7670002;Ophiothela mirabilis;2799064;0.000117;35.25099945;8.23900032;25.82999992;5.333000183;0.077341303;1
93.83333333;12;Ophiothela mirabilis;1212166;5.30E-05;32.32600021;8.197999954;29.13500023;3.029999971;0.004361334;1
