"lon";"lat";"species";"reference"
134.31;-9.41803;"Ophiothela mirabilis";"OBIS"
153.116;-26.616;"Ophiothela mirabilis";"OBIS"
78.63333333;8.866666667;"Ophiothela mirabilis";"OBIS"
153.216;-30.166;"Ophiothela mirabilis";"OBIS"
136.67;-12.22;"Ophiothela mirabilis";"OBIS"
75.83333333;18.91666667;"Ophiothela mirabilis";"OBIS"
152.5238333;-10.62783333;"Ophiothela mirabilis";"OBIS"
153.183;-30.25;"Ophiothela mirabilis";"OBIS"
119.2555;-17.2555;"Ophiothela mirabilis";"OBIS"
116.843;-20.3523;"Ophiothela mirabilis";"OBIS"
145.45;-14.65;"Ophiothela mirabilis";"OBIS"
35.29999924;-24.7670002;"Ophiothela mirabilis";"OBIS"
93.83333333;12;"Ophiothela mirabilis";"OBIS"
71.21700287;18.45000076;"Ophiothela mirabilis";"OBIS"
147.533;-18.8;"Ophiothela mirabilis";"OBIS"
79;8.5;"Ophiothela mirabilis";"OBIS"
153.133;-26.683;"Ophiothela mirabilis";"OBIS"
45.298332;-12.751667;"Ophiothela mirabilis";"OBIS"
122.982;-12.2417;"Ophiothela mirabilis";"OBIS"
120.9774;13.5232;"Ophiothela mirabilis";"OBIS"
145.463;-14.6981;"Ophiothela mirabilis";"OBIS"
-77.37054443;5.635537624;"Ophiothela mirabilis";"OBIS"
130.83299;-12.3833;"Ophiothela mirabilis";"OBIS"
158.284332;-19.4695;"Ophiothela mirabilis";"OBIS"
116.6133;-20.4833;"Ophiothela mirabilis";"OBIS"
120.98778;13.52249;"Ophiothela mirabilis";"OBIS"
114.892;-21.0317;"Ophiothela mirabilis";"OBIS"
151.633;-33.166;"Ophiothela mirabilis";"OBIS"
121.786;-15.0945;"Ophiothela mirabilis";"OBIS"
145.455;-14.6447;"Ophiothela mirabilis";"OBIS"
178;-18;"Ophiothela mirabilis";"OBIS"
92.816666;11.116667;"Ophiothela mirabilis";"OBIS"
113.9039;-21.9733;"Ophiothela mirabilis";"OBIS"
114.7345;-33.98185;"Ophiothela mirabilis";"OBIS"
132.082;-11.065;"Ophiothela mirabilis";"OBIS"
80.3;13.1;"Ophiothela mirabilis";"OBIS"
114.734;-33.98;"Ophiothela mirabilis";"OBIS"
116.4463;-20.6185;"Ophiothela mirabilis";"OBIS"
92.6;11.5;"Ophiothela mirabilis";"OBIS"
120.97114;13.52496;"Ophiothela mirabilis";"OBIS"
132.088;-11.07;"Ophiothela mirabilis";"OBIS"
153.4;-29.933;"Ophiothela mirabilis";"OBIS"
166.433;-22.266;"Ophiothela mirabilis";"OBIS"
39.97;-3.37;"Ophiothela mirabilis";"OBIS"
159.07166;-31.50333;"Ophiothela mirabilis";"OBIS"
113.409;-24.0137;"Ophiothela mirabilis";"OBIS"
120.99176;13.51664;"Ophiothela mirabilis";"OBIS"
153.116;-26.6;"Ophiothela mirabilis";"OBIS"
116.5663;-20.6518;"Ophiothela mirabilis";"OBIS"
31.7670002;-29.43300056;"Ophiothela mirabilis";"OBIS"
43.3071;11.95947;"Ophiothela mirabilis";"OBIS"
145.45;-14.666;"Ophiothela mirabilis";"OBIS"
117.333;-20.4833;"Ophiothela mirabilis";"OBIS"
86.53333333;19.78333333;"Ophiothela mirabilis";"OBIS"
161.018173;-20.548166;"Ophiothela mirabilis";"OBIS"
162.3329926;11.35000038;"Ophiothela mirabilis";"OBIS"
150.916;-23.583;"Ophiothela mirabilis";"OBIS"
153.75;-28.866;"Ophiothela mirabilis";"OBIS"
101.56925;12.55313889;"Ophiothela mirabilis";"OBIS"
152.3355;-10.69533333;"Ophiothela mirabilis";"OBIS"
145.27277;-14.85055;"Ophiothela mirabilis";"OBIS"
121.7884;-15.09305;"Ophiothela mirabilis";"OBIS"
114.907;-20.9847;"Ophiothela mirabilis";"OBIS"
130.817;-12.4167;"Ophiothela mirabilis";"OBIS"
116.5698;-20.4626;"Ophiothela mirabilis";"OBIS"
132.175;-11.2417;"Ophiothela mirabilis";"OBIS"
145.45;-14.816;"Ophiothela mirabilis";"OBIS"
99.943839;9.390387;"Ophiothela mirabilis";"OBIS"
114.89;-21.033;"Ophiothela mirabilis";"OBIS"
92.01666667;12;"Ophiothela mirabilis";"OBIS"
90;15;"Ophiothela mirabilis";"OBIS"
120.97139;13.52482;"Ophiothela mirabilis";"OBIS"
-79.51699829;8.967000008;"Ophiothela mirabilis";"OBIS"
147.68407;-18.83482;"Ophiothela mirabilis";"OBIS"
113.4867;-22.4666;"Ophiothela mirabilis";"OBIS"
150.96055;-23.1761;"Ophiothela mirabilis";"OBIS"
116.9507;-20.3483;"Ophiothela mirabilis";"OBIS"
-63.263246;17.627686;"Ophiothela mirabilis";"GBIF"
-38.516667;-12.983333;"Ophiothela mirabilis";"GBIF"
-105.582805;20.697389;"Ophiothela mirabilis";"GBIF"
-104.733105;19.229258;"Ophiothela mirabilis";"GBIF"
-104.393867;19.103;"Ophiothela mirabilis";"GBIF"
-104.7562;19.230675;"Ophiothela mirabilis";"GBIF"
-104.351703;19.105061;"Ophiothela mirabilis";"GBIF"
-105.239269;20.600536;"Ophiothela mirabilis";"GBIF"
-105.326264;20.512031;"Ophiothela mirabilis";"GBIF"
-104.350975;19.100536;"Ophiothela mirabilis";"GBIF"
-52.43;6.438333;"Ophiothela mirabilis";"GBIF"
-113.505;29.093333;"Ophiothela mirabilis";"GBIF"
-113.491389;29.039444;"Ophiothela mirabilis";"GBIF"
-113.475161;28.96835;"Ophiothela mirabilis";"GBIF"
-113.506111;29.014722;"Ophiothela mirabilis";"GBIF"
-113.518611;29.065556;"Ophiothela mirabilis";"GBIF"
-113.5075;28.992222;"Ophiothela mirabilis";"GBIF"
-113.53;29.096111;"Ophiothela mirabilis";"GBIF"
-96.555167;15.660783;"Ophiothela mirabilis";"GBIF"
-105.111189;19.558161;"Ophiothela mirabilis";"GBIF"
-105.107703;19.546031;"Ophiothela mirabilis";"GBIF"
-105.084944;19.522194;"Ophiothela mirabilis";"GBIF"
-105.092194;19.539972;"Ophiothela mirabilis";"GBIF"
-105.108647;19.539631;"Ophiothela mirabilis";"GBIF"
-109.426583;23.347361;"Ophiothela mirabilis";"GBIF"
-101.659017;17.680533;"Ophiothela mirabilis";"GBIF"
-96.059742;15.780944;"Ophiothela mirabilis";"GBIF"
-101.62185;17.6542;"Ophiothela mirabilis";"GBIF"
-96.2303;15.6879;"Ophiothela mirabilis";"GBIF"
-96.133033;15.73825;"Ophiothela mirabilis";"GBIF"
-96.143814;15.736419;"Ophiothela mirabilis";"GBIF"
-96.16435;15.719533;"Ophiothela mirabilis";"GBIF"
-101.620817;17.65045;"Ophiothela mirabilis";"GBIF"
-99.911806;16.823933;"Ophiothela mirabilis";"GBIF"
-101.65085;17.67535;"Ophiothela mirabilis";"GBIF"
-99.901453;16.821836;"Ophiothela mirabilis";"GBIF"
-101.5549;17.615467;"Ophiothela mirabilis";"GBIF"
-99.912389;16.823222;"Ophiothela mirabilis";"GBIF"
-95.57493;15.939306;"Ophiothela mirabilis";"GBIF"
-99.870605;16.846758;"Ophiothela mirabilis";"GBIF"
-101.52423;17.619606;"Ophiothela mirabilis";"GBIF"
-101.576594;17.613256;"Ophiothela mirabilis";"GBIF"
-99.901211;16.821897;"Ophiothela mirabilis";"GBIF"
-105.1079;19.556631;"Ophiothela mirabilis";"GBIF"
-101.491117;17.533186;"Ophiothela mirabilis";"GBIF"
-101.497875;17.533733;"Ophiothela mirabilis";"GBIF"
-101.61103;17.634069;"Ophiothela mirabilis";"GBIF"
-101.6216;17.650275;"Ophiothela mirabilis";"GBIF"
-97.067011;15.869583;"Ophiothela mirabilis";"GBIF"
-105.116833;19.557694;"Ophiothela mirabilis";"GBIF"
-96.371869;15.670936;"Ophiothela mirabilis";"GBIF"
-96.481233;15.668372;"Ophiothela mirabilis";"GBIF"
-96.529192;15.660603;"Ophiothela mirabilis";"GBIF"
-96.499242;15.657019;"Ophiothela mirabilis";"GBIF"
-101.52613;17.620644;"Ophiothela mirabilis";"GBIF"
-101.619586;17.653881;"Ophiothela mirabilis";"GBIF"
-45.412683;-23.824667;"Ophiothela mirabilis";"GBIF"
-96.235347;15.686794;"Ophiothela mirabilis";"GBIF"
-105.105642;19.549317;"Ophiothela mirabilis";"GBIF"
-99.901944;16.735278;"Ophiothela mirabilis";"GBIF"
-105.893389;21.855083;"Ophiothela mirabilis";"GBIF"
-105.87925;21.850611;"Ophiothela mirabilis";"GBIF"
-83.791667;9.125;"Ophiothela mirabilis";"GBIF"
-87.9;13.1375;"Ophiothela mirabilis";"GBIF"
-103.529167;18.350833;"Ophiothela mirabilis";"GBIF"
-87.075;5.525;"Ophiothela mirabilis";"GBIF"
-103.522222;18.352778;"Ophiothela mirabilis";"GBIF"
-103.463611;18.3125;"Ophiothela mirabilis";"GBIF"
-103.5225;18.351111;"Ophiothela mirabilis";"GBIF"
-101.608333;17.658333;"Ophiothela mirabilis";"GBIF"
-101.558333;17.625;"Ophiothela mirabilis";"GBIF"
-101.641667;17.658333;"Ophiothela mirabilis";"GBIF"
-101.625;17.658333;"Ophiothela mirabilis";"GBIF"
-96.560083;-0.049367;"Ophiothela mirabilis";"GBIF"
-98.776944;16.278056;"Ophiothela mirabilis";"GBIF"
-105.583611;20.684722;"Ophiothela mirabilis";"GBIF"
-105.571667;20.702222;"Ophiothela mirabilis";"GBIF"
-105.575;20.691667;"Ophiothela mirabilis";"GBIF"
-110.458333;24.591667;"Ophiothela mirabilis";"GBIF"
-99.858333;16.791667;"Ophiothela mirabilis";"GBIF"
-110.408333;24.591667;"Ophiothela mirabilis";"GBIF"
-110.391667;24.591667;"Ophiothela mirabilis";"GBIF"
-110.388611;24.585833;"Ophiothela mirabilis";"GBIF"
-105.109167;19.544722;"Ophiothela mirabilis";"GBIF"
-77.29309;4.0015;"Ophiothela mirabilis";"GBIF"
-106.458333;23.225;"Ophiothela mirabilis";"GBIF"
-106.403611;23.178333;"Ophiothela mirabilis";"GBIF"
-106.471389;23.228889;"Ophiothela mirabilis";"GBIF"
-106.472222;23.231389;"Ophiothela mirabilis";"GBIF"
-106.465278;23.225556;"Ophiothela mirabilis";"GBIF"
-105.141667;19.583333;"Ophiothela mirabilis";"GBIF"
-105.1417;19.58333;"Ophiothela mirabilis";"GBIF"
-79.58;8.98;"Ophiothela mirabilis";"GBIF"
-79.5;8.97;"Ophiothela mirabilis";"GBIF"
-79.52;8.95;"Ophiothela mirabilis";"GBIF"
-79.52;8.97;"Ophiothela mirabilis";"GBIF"
-70.12;8.33;"Ophiothela mirabilis";"GBIF"
125.235389;1.444017;"Ophiothela mirabilis";"GBIF"
151.637918;-33.079678;"Ophiothela mirabilis";"GBIF"
100.295575;-1.073948;"Ophiothela mirabilis";"GBIF"
120.90945;13.692782;"Ophiothela mirabilis";"GBIF"
103.837748;1.230814;"Ophiothela mirabilis";"GBIF"
145.454505;-14.644737;"Ophiothela mirabilis";"GBIF"
103.992055;1.390943;"Ophiothela mirabilis";"GBIF"
-113.35;28.8167;"Ophiothela mirabilis";"GBIF"
-113.55;28.9667;"Ophiothela mirabilis";"GBIF"
167.395966;-22.746166;"Ophiothela mirabilis";"GBIF"
30.8178;-30.2672;"Ophiothela mirabilis";"GBIF"
101.56925;12.553139;"Ophiothela mirabilis";"GBIF"
98.382806;7.745333;"Ophiothela mirabilis";"GBIF"
120.90129;13.65831;"Ophiothela mirabilis";"GBIF"
145.664485;-14.664059;"Ophiothela mirabilis";"GBIF"
