lon;lat;species;reference;cells;BO_calcite;BO_salinity;BO_ph;BO_sstmean;BO_sstrange;BO2_chlomean_bdmax;sp
-82.2103;26.2978;Carijoa riisei;GBIF;590854;0.006389;35.73099899;8.175000191;25.58099937;11.9659996;0.059271093;1
-81.6633;25.2967;Carijoa riisei;GBIF;634061;0.010012;36.31900024;8.199999809;26.09000015;10.39999962;0.057431318;1
-81.8;25.2944;Carijoa riisei;GBIF;634059;0.005853;36.30899811;8.197999954;25.9470005;10.61600018;0.049643628;1
127.7;26.68;Carijoa riisei;GBIF;575373;7.10E-05;34.45899963;8.241999626;25.24099922;8.065999985;0.01417535;1
-44.2933;-23.1133;Carijoa riisei;GBIF;2726109;0.000327;35.45500183;8.067000389;25.24600029;5.822000027;0.013283134;1
-87.3333;29.7;Carijoa riisei;GBIF;443193;0.000296;33.91600037;8.065999985;24.64599991;10.66100025;0.020138873;1
-45.415;-23.8267;Carijoa riisei;GBIF;2754896;0.00452;35.57699966;8.05700016;24.92000008;8.460000038;0.742389202;1
-80.6;30.9117;Carijoa riisei;GBIF;392873;0.000436;35.25699997;8.251999855;23.2840004;10.81700039;0.835989654;1
-59.616667;13.083333;Carijoa riisei;GBIF;1163525;7.50E-05;34.77799988;8.171999931;28.0890007;2.686000109;0.004761078;1
-90.4089;28.5692;Carijoa riisei;GBIF;493556;0.001497;31.19799995;8.095000267;24.88699913;11.14900017;0.154741764;1
-82.0175;26.263888;Carijoa riisei;GBIF;590856;0.00884;35.73400116;8.17800045;25.6590004;11.71399975;0.06031708;1
-87.93;17.17;Carijoa riisei;GBIF;983185;0.000167;36.12099838;8.069000244;28.43899918;3.592999935;0.005834522;1
-71.88;12.4;Carijoa riisei;GBIF;1192178;0.004025;35.98799896;8.06799984;26.20999908;4.322999954;0.232143566;1
-86.0333;15.9867;Carijoa riisei;GBIF;1037208;0.001166;36.07099915;8.022000313;28.52599907;3.763999939;0.035506357;1
-87.5367;15.9383;Carijoa riisei;GBIF;1037190;0.002154;36.08399963;8.029999733;28.92399979;4.206999779;0.138461381;1
-86.0917;15.9917;Carijoa riisei;GBIF;1037207;0.000895;36.06399918;8.027999878;28.57799911;3.825999975;0.043710869;1
-86.1667;16;Carijoa riisei;GBIF;1037206;0.000597;36.06499863;8.027999878;28.5340004;3.819000006;0.04045745;1
-53.3167;6.1167;Carijoa riisei;GBIF;1462401;0.002422;30.13100052;8.138999939;28.02000046;1.896999955;0.279503196;1
-65.3833;10.375;Carijoa riisei;GBIF;1278656;0.000172;37.06999969;8.093000412;27.20400047;4.272999763;0.283079654;1
-55.0667;6.6667;Carijoa riisei;GBIF;1437180;0.001654;31.11199951;8.133999825;27.82500076;2.256000042;0.366446674;1
-65.0333;10.3333;Carijoa riisei;GBIF;1282260;0.000242;37.04000092;8.086000443;26.89999962;4.261000156;0.333945453;1
-62.1931;11.08;Carijoa riisei;GBIF;1249894;0.000967;35.60599899;8.050000191;27.40099907;3.446000099;0.181477889;1
-82.1;26.4;Carijoa riisei;GBIF;587255;0.012049;35.69499969;8.175000191;25.71500015;11.48799992;0.063824512;1
-87.759058;25.67023;Carijoa riisei;GBIF;615987;8.70E-05;36.0340004;8.130999565;27.34399986;5.208000183;0.004363189;1
-79.5167;9.7333;Carijoa riisei;GBIF;1307286;0.000446;35.88199997;8.027000427;28.68000031;2.828000069;0.004483333;1
-79.9133;9.3533;Carijoa riisei;GBIF;1321682;0.002341;35.86299896;8.020000458;28.74699974;2.539999962;0.047707915;1
-77.0367;8.6333;Carijoa riisei;GBIF;1354116;0.003131;35.88399887;8.102000237;29.27499962;2.711999893;0.05902547;1
-77.005;8.4683;Carijoa riisei;GBIF;1361316;0.002852;35.86700058;8.100999832;29.32799911;2.655999899;0.058305331;1
-81.916666;25.683333;Carijoa riisei;GBIF;616058;0.006095;36.07300186;8.18999958;25.8579998;11.28499985;0.052002285;1
-81.916666;26;Carijoa riisei;GBIF;605258;0.00839;35.92599869;8.18599987;25.70899963;11.38000011;0.062915377;1
56.42;26.58;Carijoa riisei;GBIF;581718;0.000292;37.375;8.135000229;27.59700012;9.602000237;0.319899827;1
-83.37;24.22;Carijoa riisei;GBIF;680840;8.10E-05;36.29800034;8.192000389;26.9829998;6.058000088;0.004460252;1
-58.7;8.5333;Carijoa riisei;GBIF;1357936;0.000249;34.26300049;8.022999763;28.2670002;2.673000097;0.3172867;1
-55.72;7;Carijoa riisei;GBIF;1426372;0.0005;31.72200012;8.12100029;27.91600037;2.357000113;0.098631345;1
